Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.148,29.0,0.659,5.0,24.8,0.552,30.1,0.225,4.8,6.2
0.078,21.5,0.768,1.0,22.1,0.392,25.7,0.209,5.2,6.4
0.033,22.2,0.671,3.5,23.7,0.538,24.8,0.22,5.5,6.0
0.03,25.9,0.524,6.0,23.5,0.35,28.1,0.177,5.4,5.4
0.026,19.4,0.683,2.0,19.7,0.18,23.7,0.14,2.9,3.8
0.026,17.0,0.768,1.0,21.7,0.359,19.6,0.235,5.6,6.2
0.021,26.6,0.476,8.0,23.7,0.379,31.1,0.155,2.5,4.9
0.016,17.2,0.659,5.0,23.4,0.444,20.9,0.217,5.8,8.1
0.011,16.2,0.61,3.0,17.4,0.344,25.2,0.098,2.2,2.0
0.01,14.9,0.683,2.0,20.6,0.381,19.0,0.198,2.4,2.6
0.008,20.4,0.61,3.0,18.0,0.323,24.0,0.155,2.6,3.6
0.007,28.4,0.366,10.0,19.1,0.321,34.4,0.07,2.8,1.8
0.005,17.7,0.634,6.0,18.3,0.339,21.2,0.161,2.8,3.3
0.004,21.2,0.634,6.0,24.3,0.289,25.0,0.201,2.1,4.3
0.001,22.9,0.537,7.0,20.9,0.246,24.7,0.148,4.5,5.2
0.001,18.4,0.683,2.0,21.2,0.302,23.9,0.182,2.6,2.7
0.938,30.1,0.817,1.0,27.7,0.325,31.7,0.274,7.2,9.2
0.584,25.0,0.695,1.0,23.6,0.342,28.7,0.223,6.8,7.4
0.351,23.2,0.573,5.5,27.5,0.522,24.7,0.26,4.8,7.4
0.273,28.0,0.671,2.5,25.4,0.571,30.3,0.237,5.2,5.9
0.104,24.0,0.622,3.5,22.8,0.335,27.2,0.198,2.6,5.5
0.084,25.6,0.671,2.5,19.9,0.265,23.6,0.155,3.6,4.8
0.069,17.3,0.695,2.0,22.7,0.318,24.1,0.205,6.1,4.2
0.067,23.4,0.671,2.5,19.1,0.244,24.4,0.132,3.9,4.1
0.033,21.0,0.817,1.0,21.5,0.319,24.6,0.192,4.1,6.4
0.027,9.8,0.585,5.0,17.0,0.22,11.1,0.183,1.9,4.0
0.025,21.5,0.695,2.0,23.0,0.528,23.6,0.213,4.2,4.5
